Song name,Artist,Artist Code,Album,Album Number
The Chain,Fleetwood Mac,A,Rumours (Super Deluxe),1
Brandy,Looking Glass,B,Looking Glass,2
Reelin' In the Years,Steely Dan,C,Can't Buy A Thrill,3
Do It Again,Steely Dan,C,Can't Buy A Thrill,3
Dirty Work,Steely Dan,C,Can't Buy A Thrill,3
Hey Nineteen,Steely Dan,C,Gaucho,4
The Fez,Steely Dan,C,The Royal Scam,5
Haitian Divorce,Steely Dan,C,The Royal Scam,5
My Old School,Steely Dan,C,Countdown To Ecstasy,6
Only a Fool Would Say That,Steely Dan,C,Can't Buy A Thrill,3
Fire In The Hole,Steely Dan,C,Can't Buy A Thrill,3
Change Of The Guard,Steely Dan,C,Can't Buy A Thrill,3
Heartbreaker,Led Zeppelin,D,Mothership (Remastered),7
Black Dog,Led Zeppelin,D,Mothership (Remastered),7
When the Levee Breaks,Led Zeppelin,D,Mothership (Remastered),7
Kashmir,Led Zeppelin,D,Mothership (Remastered),7
Since I've Been Loving You,Led Zeppelin,D,Mothership (Remastered),7
Superstition,Stevie Wonder,E,Original Musiquarium,8
Front Line,Stevie Wonder,E,Original Musiquarium,8
You Are The Sunshine Of My Life,Stevie Wonder,E,Original Musiquarium,8
Higher Ground,Stevie Wonder,E,Original Musiquarium,8
Sir Duke,Stevie Wonder,E,Original Musiquarium,8
Master Blaster (Jammin'),Stevie Wonder,E,Original Musiquarium,8
That Girl,Stevie Wonder,E,Original Musiquarium,8
I Wish,Stevie Wonder,E,Original Musiquarium,8
Do I Do,Stevie Wonder,E,Original Musiquarium,8
Pastime Paradise,Stevie Wonder,E,Songs In The Key Of Life,9
Summer Soft,Stevie Wonder,E,Songs In The Key Of Life,9
Ordinary Pain,Stevie Wonder,E,Songs In The Key Of Life,9
Saturn,Stevie Wonder,E,Songs In The Key Of Life,9
Go Your Own Way,Fleetwood Mac,A,Rumours (Super Deluxe),1
Rhiannon,Fleetwood Mac,A,Fleetwood Mac,10
Peg,Steely Dan,C,Aja,11
Free Bird,Lynyrd Skynyrd,F,Pronounced' Leh-'Nerd 'Skin-'Nerd,12
No Quarter,Led Zeppelin,D,Mothership (Remastered),7
Trampled Under Foot,Led Zeppelin,D,Mothership (Remastered),7
All My Love,Led Zeppelin,D,Mothership (Remastered),7
Wouldn’t It Be Nice,The Beach Boys,G,Pet Sounds,13
Dreams,Fleetwood Mac,A,Rumours (Super Deluxe),1
Everywhere,Fleetwood Mac,A,Tango In the Night (Deluxe),14
Landslide,Fleetwood Mac,A,Fleetwood Mac,10
Daddy Cool,Boney M.,H,Take The Heat Off Me,15
Sunny,Boney M.,H,Take The Heat Off Me,15
Wish You Were Here,Pink Floyd,I,Wish You Were Here,16
"Another Brick in the Wall, pt. 2",Pink Floyd,I,The Wall,17
Comfortably Numb,Pink Floyd,I,The Wall,17
Hey You,Pink Floyd,I,The Wall,17
Easy (Like Sunday Morning),Charles Givings,J,Songs For Sunset Lovers,18
Money,Pink Floyd,I,The Dark Side of the Moon,19
Time,Pink Floyd,I,The Dark Side of the Moon,19
Dancing In the Moonlight,King Harvest,K,Dancing In the Moonlight,20
Call Me,Blondie,L,Call Me,21
Simple Man,Lynyrd Skynyrd,F,Pronounced' Leh-'Nerd 'Skin-'Nerd,12
Bad Girls,Donna Summer,M,Walk Away,22
(Don't Fear) The Reaper,Blue Oyster Cult,N,Agents Of Fortune,23
Gimme! Gimme! Gimme! (A Man After Midnight),ABBA,O,Voulez-Vous,24
Young Lust,Pink Floyd,I,The Wall,17
Then Came the Last Days of May,Blue Oyster Cult,N,Blue Oyster Cult,25
Burnin' For You,Blue Oyster Cult,N,Fire of Unknown Origin,26
Godzilla,Blue Oyster Cult,N,Spectres,27
Tuesday's Gone,Lynyrd Skynyrd,F,Pronounced' Leh-'Nerd 'Skin-'Nerd,12
Veteran of the Psychic Wars,Blue Oyster Cult,N,Fire of Unknown Origin,26
Come As You Are,Nirvana,P,Nevermind (Remastered),28
Smells Like Teen Spirit,Nirvana,P,Nevermind (Remastered),28
Dreadlock Holiday,10cc,Q,Bloody Tourists,29
The Things We Do For Love,10cc,Q,Deceptive Bends,30
Don't Bring Me Down,Electric Light Orchestra,R,Discovery,31
Last Train to London,Electric Light Orchestra,R,Discovery,31
Turn to Stone,Electric Light Orchestra,R,Out of the Blue,32
Telephone Line,Electric Light Orchestra,R,A New World Record,33
Breathe (In the Air),Pink Floyd,I,The Dark Side of the Moon,19
Sweet Talkin' Woman,Electric Light Orchestra,R,Out of the Blue,32
Evil Woman,Electric Light Orchestra,R,The Essential Electric Light Orchestra,34
