Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2019-10-23,@,IND,W,119,110,41,78,.526,11,24,.458,26,33,.788,10,45,26,5,6,18,21,,41,89,.461,8,21,.381,20,24,.833,10,36,26,8,6,15,28
2,2,2019-10-24,,ATL,L,100,117,35,85,.412,10,37,.270,20,22,.909,9,39,20,6,5,13,20,,44,86,.512,11,31,.355,18,21,.857,8,42,27,9,2,13,15
3,3,2019-10-26,,PHI,L,111,117,41,76,.539,8,19,.421,21,36,.583,5,35,20,11,7,23,28,,42,87,.483,13,34,.382,20,30,.667,6,38,30,14,3,22,26
4,4,2019-10-28,,IND,W,96,94,37,81,.457,13,24,.542,9,10,.900,9,48,21,2,3,20,18,,39,94,.415,6,21,.286,10,13,.769,13,45,24,11,4,7,18
5,5,2019-10-30,@,TOR,L,113,125,41,88,.466,14,30,.467,17,23,.739,11,42,30,5,1,20,15,,51,86,.593,13,27,.481,10,12,.833,3,34,30,12,2,14,22
6,6,2019-11-01,@,CHI,L,106,112,41,85,.482,6,29,.207,18,24,.750,10,47,21,11,8,16,21,,39,89,.438,16,40,.400,18,23,.783,11,42,29,6,1,17,18
7,7,2019-11-02,,BRK,W,113,109,41,91,.451,8,27,.296,23,29,.793,5,41,21,8,7,8,18,,43,93,.462,10,32,.313,13,17,.765,10,48,24,4,4,14,24
8,8,2019-11-04,@,WAS,L,99,115,34,82,.415,13,27,.481,18,23,.783,13,42,21,4,9,19,20,,43,93,.462,8,29,.276,21,25,.840,13,41,27,9,7,11,23
9,9,2019-11-06,,NYK,W,122,102,44,79,.557,15,30,.500,19,24,.792,8,43,37,7,1,16,17,,39,80,.488,11,25,.440,13,21,.619,5,30,24,9,4,13,20
10,10,2019-11-08,@,IND,L,106,112,39,86,.453,13,33,.394,15,18,.833,10,40,27,6,4,15,26,,43,83,.518,4,15,.267,22,25,.880,10,44,23,6,8,12,16
11,11,2019-11-11,,MIN,L,114,120,39,87,.448,16,32,.500,20,25,.800,12,39,25,9,5,17,22,,45,89,.506,15,34,.441,15,19,.789,11,45,25,7,6,16,23
12,12,2019-11-12,@,MIA,L,108,117,34,78,.436,15,41,.366,25,37,.676,8,32,27,9,9,16,28,,41,77,.532,14,32,.438,21,27,.778,8,42,34,6,1,19,30
13,13,2019-11-15,@,CHO,L,106,109,40,81,.494,15,35,.429,11,11,1.000,7,42,25,3,3,19,19,,43,96,.448,13,35,.371,10,16,.625,14,41,22,10,3,10,17
14,14,2019-11-20,@,CHI,L,89,109,28,83,.337,8,33,.242,25,32,.781,12,46,23,6,8,16,20,,39,91,.429,14,27,.519,17,26,.654,12,55,25,9,7,14,24
15,15,2019-11-22,,ATL,W,128,103,49,82,.598,17,34,.500,13,20,.650,12,42,30,13,10,18,17,,38,88,.432,10,37,.270,17,17,1.000,10,34,26,12,2,19,18
16,16,2019-11-23,@,MIL,L,90,104,37,91,.407,10,35,.286,6,10,.600,6,40,22,7,3,15,18,,41,84,.488,13,37,.351,9,18,.500,9,49,25,10,8,21,14
17,17,2019-11-25,,ORL,W,103,88,34,79,.430,14,38,.368,21,25,.840,9,49,23,6,5,13,20,,32,84,.381,8,25,.320,16,22,.727,8,41,15,8,7,9,21
18,18,2019-11-27,@,CHO,L,101,102,41,88,.466,10,32,.313,9,15,.600,9,46,23,2,2,8,18,,39,88,.443,7,30,.233,17,20,.850,10,41,27,3,7,3,18
19,19,2019-11-29,,CHO,L,107,110,41,83,.494,15,35,.429,10,20,.500,14,45,27,5,4,13,16,,40,83,.482,19,38,.500,11,15,.733,11,37,26,8,6,10,17
20,20,2019-12-01,,SAS,W,132,98,52,88,.591,15,31,.484,13,18,.722,11,50,33,5,5,15,14,,36,88,.409,7,26,.269,19,22,.864,7,31,20,11,6,8,15
21,21,2019-12-03,@,CLE,W,127,94,51,94,.543,18,35,.514,7,11,.636,10,46,33,11,7,10,16,,38,90,.422,8,27,.296,10,14,.714,12,40,16,6,6,13,11
22,22,2019-12-04,,MIL,L,103,127,39,93,.419,11,36,.306,14,22,.636,9,40,25,5,3,11,19,,44,90,.489,14,35,.400,25,27,.926,10,55,25,7,8,14,18
23,23,2019-12-06,,IND,W,108,101,39,87,.448,11,25,.440,19,26,.731,14,51,21,7,5,17,17,,38,83,.458,9,24,.375,16,20,.800,5,33,24,8,9,11,18
24,24,2019-12-09,@,NOP,W,105,103,36,85,.424,11,35,.314,22,27,.815,10,46,15,6,3,18,20,,40,91,.440,8,38,.211,15,22,.682,10,45,24,6,1,12,22
25,25,2019-12-12,,DAL,L,111,122,40,89,.449,15,42,.357,16,23,.696,5,34,23,8,2,7,16,,45,88,.511,16,44,.364,16,23,.696,11,52,25,4,5,11,21
