Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2019-10-22,,LAL,W,112,102,42,81,.519,11,31,.355,17,24,.708,11,45,24,8,5,14,25,,37,85,.435,13,33,.394,15,21,.714,9,41,20,4,7,14,24
2,2,2019-10-24,@,GSW,W,141,122,50,80,.625,18,32,.563,23,30,.767,3,39,33,7,5,17,24,,39,99,.394,15,42,.357,29,30,.967,15,42,27,7,0,13,21
3,3,2019-10-26,@,PHO,L,122,130,40,87,.460,11,32,.344,31,39,.795,10,41,20,8,4,12,32,,43,86,.500,17,43,.395,27,34,.794,9,49,32,9,3,16,34
4,4,2019-10-28,,CHO,W,111,96,40,83,.482,12,33,.364,19,21,.905,9,44,23,11,8,21,24,,36,83,.434,14,39,.359,10,14,.714,9,38,24,5,3,21,23
5,5,2019-10-30,@,UTA,L,96,110,39,82,.476,8,23,.348,10,12,.833,6,36,19,3,4,19,22,,44,80,.550,11,24,.458,11,16,.688,3,36,23,12,5,14,18
6,6,2019-10-31,,SAS,W,103,97,39,91,.429,5,26,.192,20,27,.741,11,47,16,9,1,11,23,,36,80,.450,7,21,.333,18,27,.667,9,49,15,6,5,19,28
7,7,2019-11-03,,UTA,W,105,94,36,92,.391,7,32,.219,26,34,.765,18,54,15,7,6,9,25,,31,78,.397,10,31,.323,22,31,.710,6,37,16,4,6,14,30
8,8,2019-11-06,,MIL,L,124,129,41,98,.418,13,31,.419,29,36,.806,14,54,21,4,3,19,28,,42,98,.429,18,49,.367,27,34,.794,14,54,18,7,11,15,28
9,9,2019-11-07,,POR,W,107,101,39,89,.438,4,23,.174,25,30,.833,13,57,20,6,12,17,14,,39,104,.375,11,39,.282,12,16,.750,17,51,18,7,4,13,27
10,10,2019-11-11,,TOR,W,98,88,34,92,.370,8,36,.222,22,30,.733,20,66,25,9,7,19,21,,34,85,.400,11,30,.367,9,15,.600,5,38,25,9,8,15,24
11,11,2019-11-13,@,HOU,L,93,102,38,98,.388,10,33,.303,7,14,.500,11,53,17,3,3,13,21,,33,86,.384,14,42,.333,22,27,.815,9,53,12,7,6,10,17
12,12,2019-11-14,@,NOP,L,127,132,46,84,.548,11,24,.458,24,31,.774,6,37,28,6,6,16,22,,47,98,.480,18,34,.529,20,29,.690,18,51,26,11,5,14,25
13,13,2019-11-16,,ATL,W,150,101,50,93,.538,17,33,.515,33,35,.943,12,53,30,10,12,19,28,,34,90,.378,6,24,.250,27,37,.730,14,38,19,11,10,19,27
14,14,2019-11-18,,OKC,W,90,88,35,87,.402,10,36,.278,10,14,.714,13,49,23,7,5,17,25,,28,75,.373,7,27,.259,25,28,.893,9,45,17,12,4,17,19
15,15,2019-11-20,,BOS,W,107,104,39,93,.419,17,45,.378,12,16,.750,14,53,26,12,9,23,18,,41,104,.394,12,45,.267,10,14,.714,18,53,26,11,2,17,22
16,16,2019-11-22,,HOU,W,122,119,45,87,.517,13,33,.394,19,24,.792,10,47,27,9,4,19,32,,39,84,.464,15,43,.349,26,38,.684,11,43,22,11,2,15,27
17,17,2019-11-24,,NOP,W,134,109,46,98,.469,16,43,.372,26,33,.788,16,56,27,4,5,6,21,,43,98,.439,13,41,.317,10,18,.556,12,45,26,1,6,9,26
18,18,2019-11-26,@,DAL,W,114,99,41,97,.423,11,33,.333,21,30,.700,17,56,22,12,3,14,27,,30,79,.380,11,38,.289,28,35,.800,9,46,16,12,2,20,21
19,19,2019-11-27,@,MEM,W,121,119,44,95,.463,14,41,.341,19,25,.760,13,43,30,11,6,15,24,,43,92,.467,11,28,.393,22,26,.846,13,48,26,9,3,20,22
20,20,2019-11-29,@,SAS,L,97,107,36,92,.391,12,33,.364,13,13,1.000,9,48,23,6,5,14,17,,40,93,.430,14,36,.389,13,14,.929,8,48,28,8,8,9,15
21,21,2019-12-01,,WAS,W,150,125,52,94,.553,14,32,.438,32,40,.800,10,52,22,8,5,16,25,,47,102,.461,11,30,.367,20,27,.741,12,43,32,10,1,14,29
22,22,2019-12-03,,POR,W,117,97,43,94,.457,17,34,.500,14,25,.560,11,49,25,7,3,10,15,,39,91,.429,7,27,.259,12,15,.800,12,49,20,5,6,13,23
23,23,2019-12-06,@,MIL,L,91,119,33,94,.351,8,32,.250,17,19,.895,12,48,18,9,4,21,19,,44,94,.468,14,36,.389,17,21,.810,13,53,29,11,6,15,23
24,24,2019-12-08,@,WAS,W,135,119,50,96,.521,15,40,.375,20,27,.741,9,45,27,8,4,10,26,,40,88,.455,14,33,.424,25,30,.833,8,38,28,5,3,13,22
25,25,2019-12-09,@,IND,W,110,99,40,97,.412,10,32,.313,20,27,.741,12,57,19,7,7,11,16,,34,97,.351,10,35,.286,21,28,.750,14,55,16,7,3,13,21
26,26,2019-12-11,@,TOR,W,112,92,38,86,.442,12,40,.300,24,27,.889,12,50,29,8,5,18,21,,31,88,.352,8,36,.222,22,25,.880,15,47,21,10,8,18,24
