Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2019-10-24,@,HOU,W,117,111,46,99,.465,16,46,.348,9,18,.500,6,53,31,7,10,11,27,,33,90,.367,16,48,.333,29,39,.744,10,57,25,6,6,14,25
2,2,2019-10-26,,MIA,L,126,131,41,94,.436,17,54,.315,27,35,.771,5,47,22,8,4,18,32,,46,101,.455,16,44,.364,23,36,.639,8,54,33,7,3,16,30
3,3,2019-10-28,,CLE,W,129,112,48,92,.522,17,38,.447,16,24,.667,8,50,29,9,7,12,15,,45,100,.450,12,39,.308,10,12,.833,10,48,19,2,3,11,22
4,4,2019-10-30,@,BOS,L,105,116,38,82,.463,14,45,.311,15,24,.625,5,45,21,3,4,15,21,,41,92,.446,17,41,.415,17,21,.810,5,45,25,4,4,9,20
5,5,2019-11-01,@,ORL,W,123,91,47,93,.505,17,47,.362,12,18,.667,11,58,24,11,4,13,19,,34,91,.374,12,37,.324,11,17,.647,10,40,21,8,3,16,16
6,6,2019-11-02,,TOR,W,115,105,41,89,.461,13,38,.342,20,25,.800,10,51,30,4,7,11,22,,34,84,.405,15,36,.417,22,25,.880,7,42,24,5,6,13,22
7,7,2019-11-04,@,MIN,W,134,106,50,93,.538,14,39,.359,20,30,.667,11,57,24,8,6,17,20,,37,103,.359,13,43,.302,19,22,.864,13,47,20,12,4,15,23
8,8,2019-11-06,@,LAC,W,129,124,42,98,.429,18,49,.367,27,34,.794,14,54,18,7,11,15,28,,41,98,.418,13,31,.419,29,36,.806,14,54,21,4,3,19,28
9,9,2019-11-08,@,UTA,L,100,103,34,95,.358,10,36,.278,22,30,.733,16,54,14,8,4,12,26,,34,84,.405,15,36,.417,20,29,.690,11,56,15,3,1,20,27
10,10,2019-11-10,@,OKC,W,121,119,47,83,.566,11,28,.393,16,18,.889,5,48,27,9,4,22,21,,45,91,.495,17,42,.405,12,17,.706,5,35,31,11,4,15,20
11,11,2019-11-14,,CHI,W,124,115,42,88,.477,6,33,.182,34,47,.723,17,58,24,9,4,22,22,,38,93,.409,18,43,.419,21,25,.840,10,45,25,14,1,20,29
12,12,2019-11-16,@,IND,W,102,83,43,96,.448,11,39,.282,5,7,.714,8,55,23,6,8,14,13,,32,100,.320,12,34,.353,7,9,.778,14,54,19,8,7,13,10
13,13,2019-11-18,@,CHI,W,115,101,38,82,.463,15,41,.366,24,35,.686,8,48,24,12,9,15,16,,39,97,.402,12,34,.353,11,14,.786,13,50,25,6,6,14,25
14,14,2019-11-20,@,ATL,W,135,127,46,87,.529,17,43,.395,26,34,.765,8,46,25,6,8,19,25,,44,96,.458,14,31,.452,25,31,.806,9,43,27,8,2,13,26
15,15,2019-11-21,,POR,W,137,129,50,106,.472,16,43,.372,21,26,.808,18,58,32,7,3,12,20,,50,103,.485,17,39,.436,12,14,.857,9,41,32,6,11,8,27
16,16,2019-11-23,,DET,W,104,90,41,84,.488,13,37,.351,9,18,.500,9,49,25,10,8,21,14,,37,91,.407,10,35,.286,6,10,.600,6,40,22,7,3,15,18
17,17,2019-11-25,,UTA,W,122,118,43,97,.443,13,41,.317,23,29,.793,15,49,21,6,6,9,15,,43,85,.506,21,45,.467,11,12,.917,4,40,29,4,6,16,23
18,18,2019-11-27,,ATL,W,111,102,42,88,.477,10,34,.294,17,27,.630,10,47,25,6,11,14,23,,38,94,.404,11,34,.324,15,22,.682,14,49,22,4,5,17,25
19,19,2019-11-29,@,CLE,W,119,110,45,88,.511,12,34,.353,17,23,.739,11,47,28,7,4,13,15,,44,88,.500,17,34,.500,5,10,.500,8,41,32,7,1,14,22
20,20,2019-11-30,,CHO,W,137,96,54,96,.563,20,44,.455,9,15,.600,7,53,41,7,3,7,13,,37,101,.366,15,45,.333,7,8,.875,15,53,21,4,1,12,18
21,21,2019-12-02,,NYK,W,132,88,48,86,.558,16,35,.457,20,32,.625,10,57,30,7,4,13,23,,28,91,.308,10,39,.256,22,33,.667,14,42,13,4,7,10,21
22,22,2019-12-04,@,DET,W,127,103,44,90,.489,14,35,.400,25,27,.926,10,55,25,7,8,14,18,,39,93,.419,11,36,.306,14,22,.636,9,40,25,5,3,11,19
23,23,2019-12-06,,LAC,W,119,91,44,94,.468,14,36,.389,17,21,.810,13,53,29,11,6,15,23,,33,94,.351,8,32,.250,17,19,.895,12,48,18,9,4,21,19
24,24,2019-12-09,,ORL,W,110,101,43,92,.467,16,41,.390,8,15,.533,10,54,30,7,4,14,19,,35,92,.380,10,31,.323,21,26,.808,9,44,24,8,10,12,18
25,25,2019-12-11,,NOP,W,127,112,50,93,.538,19,39,.487,8,9,.889,5,43,27,13,2,14,17,,39,88,.443,16,45,.356,18,22,.818,7,42,29,8,5,21,17
