Rk,G,Date,,Opp,W/L,Tm,Opp,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,1,2019-10-22,@,TOR,L,122,130,43,102,.422,19,45,.422,17,20,.850,16,53,30,4,9,19,34,,42,103,.408,14,40,.350,32,38,.842,16,57,23,7,3,16,24
2,2,2019-10-25,,DAL,L,116,123,45,98,.459,15,41,.366,11,15,.733,12,48,30,6,3,14,22,,45,93,.484,14,40,.350,19,26,.731,12,49,23,8,7,11,19
3,3,2019-10-26,@,HOU,L,123,126,46,100,.460,18,50,.360,13,16,.813,9,42,27,9,2,17,30,,43,94,.457,13,45,.289,27,30,.900,9,45,27,7,4,19,22
4,4,2019-10-28,,GSW,L,123,134,48,103,.466,15,47,.319,12,22,.545,11,41,36,13,7,15,20,,51,104,.490,14,35,.400,18,24,.750,19,61,37,8,2,18,22
5,5,2019-10-31,,DEN,W,122,107,41,77,.532,15,33,.455,25,32,.781,2,37,30,7,4,15,21,,43,89,.483,7,26,.269,14,16,.875,5,35,24,5,3,14,24
6,6,2019-11-02,@,OKC,L,104,115,40,94,.426,11,32,.344,13,22,.591,17,56,25,7,5,16,25,,41,90,.456,15,37,.405,18,23,.783,8,44,20,8,11,12,20
7,7,2019-11-04,@,BRK,L,125,135,48,97,.495,13,32,.406,16,21,.762,10,39,18,16,5,21,26,,49,92,.533,16,41,.390,21,28,.750,12,45,32,13,3,23,18
8,8,2019-11-08,,TOR,L,104,122,40,99,.404,10,41,.244,14,21,.667,14,53,21,7,6,18,23,,41,93,.441,19,43,.442,21,24,.875,10,53,27,9,3,17,24
9,9,2019-11-09,@,CHO,W,115,110,40,75,.533,14,33,.424,21,30,.700,9,45,25,13,6,26,28,,36,88,.409,12,35,.343,26,34,.765,13,42,27,10,2,21,27
10,10,2019-11-11,,HOU,L,116,122,41,95,.432,14,45,.311,20,27,.741,12,46,26,8,3,16,23,,44,85,.518,12,41,.293,22,32,.688,7,47,16,9,6,17,22
11,11,2019-11-14,,LAC,W,132,127,47,98,.480,18,34,.529,20,29,.690,18,51,26,11,5,14,25,,46,84,.548,11,24,.458,24,31,.774,6,37,28,6,6,16,22
12,12,2019-11-16,@,MIA,L,94,109,37,82,.451,16,35,.457,4,6,.667,7,31,23,10,2,18,16,,44,81,.543,9,24,.375,12,13,.923,9,45,25,13,3,20,6
13,13,2019-11-17,,GSW,W,108,100,37,89,.416,18,46,.391,16,20,.800,11,48,24,3,5,13,21,,37,91,.407,7,25,.280,19,23,.826,9,43,23,7,3,10,19
14,14,2019-11-19,,POR,W,115,104,41,93,.441,13,36,.361,20,24,.833,16,53,24,10,5,13,15,,40,92,.435,16,29,.552,8,13,.615,11,48,20,5,4,17,23
15,15,2019-11-21,@,PHO,W,124,121,47,88,.534,16,35,.457,14,22,.636,8,44,28,8,6,17,25,,40,86,.465,13,31,.419,28,32,.875,9,38,28,10,3,14,19
16,16,2019-11-23,@,UTA,L,120,128,42,101,.416,17,41,.415,19,20,.950,9,38,21,7,6,10,24,,42,82,.512,15,36,.417,29,33,.879,7,49,29,2,4,17,21
17,17,2019-11-24,@,LAC,L,109,134,43,98,.439,13,41,.317,10,18,.556,12,45,26,1,6,9,26,,46,98,.469,16,43,.372,26,33,.788,16,56,27,4,5,6,21
18,18,2019-11-27,,LAL,L,110,114,34,84,.405,17,40,.425,25,30,.833,13,42,20,7,4,19,23,,44,85,.518,8,24,.333,18,25,.720,7,37,25,9,6,15,24
19,19,2019-11-29,@,OKC,L,104,109,39,87,.448,11,38,.289,15,21,.714,7,44,19,8,3,13,12,,43,90,.478,13,34,.382,10,16,.625,6,42,27,6,8,11,17
20,20,2019-12-01,,OKC,L,104,107,39,87,.448,17,38,.447,9,10,.900,3,41,22,6,7,11,22,,38,81,.469,11,33,.333,20,26,.769,5,47,19,5,3,11,14
21,21,2019-12-03,,DAL,L,97,118,38,94,.404,11,41,.268,10,15,.667,9,47,20,4,4,11,19,,38,88,.432,19,45,.422,23,27,.852,10,51,22,5,8,10,14
22,22,2019-12-05,,PHO,L,132,139,44,87,.506,17,41,.415,27,35,.771,6,40,27,13,9,23,29,,50,106,.472,14,36,.389,25,27,.926,19,51,30,16,6,18,29
23,23,2019-12-07,@,DAL,L,84,130,32,89,.360,3,32,.094,17,21,.810,8,34,17,4,2,14,23,,46,86,.535,13,38,.342,25,31,.806,8,55,25,8,4,12,17
24,24,2019-12-09,,DET,L,103,105,40,91,.440,8,38,.211,15,22,.682,10,45,24,6,1,12,22,,36,85,.424,11,35,.314,22,27,.815,10,46,15,6,3,18,20
25,25,2019-12-11,@,MIL,L,112,127,39,88,.443,16,45,.356,18,22,.818,7,42,29,8,5,21,17,,50,93,.538,19,39,.487,8,9,.889,5,43,27,13,2,14,17
